id_venda,data,ano,mes,trimestre,dia_semana,categoria,produto,regiao,estado,cidade,vendedor,cliente,quantidade,preco_unitario,desconto_percentual,valor_total,forma_pagamento,custo_unitario,status,custo_total,lucro,margem_lucro
V202000000,2024-12-05,2024,12,4,THURSDAY,ELETRÔNICOS,SMARTPHONE,SUL,RS,CACHOEIRINHA,MARIA ALMEIDA,AMANDA SILVA,3,868.02,15.31,2205.38,PIX,449.53,CONCLUÍDA,1348.59,856.7900000000002,38.85
V202100001,2025-05-07,2025,5,2,WEDNESDAY,ELETRÔNICOS,NOTEBOOK,NORDESTE,PB,CIDADE DESCONHECIDA,RICARDO SILVA,LUCAS RIBEIRO,2,1060.72,0.0,2121.44,BOLETO,497.39,CONCLUÍDA,994.78,1126.66,53.11
V202200002,2023-09-07,2023,9,3,THURSDAY,MODA,BOLSA,CENTRO-OESTE,GO,CIDADE DESCONHECIDA,CARLOS SILVA,MARIA SOUZA,5,272.92,0.0,1364.6,DINHEIRO,158.85,CONCLUÍDA,794.25,570.3499999999999,41.8
V202300003,2021-06-05,2021,6,2,SATURDAY,CASA,SOFÁ,NORDESTE,MA,CIDADE DESCONHECIDA,CAMILA GOMES,JULIANA SOUZA,2,2422.66,0.0,4845.32,PIX,1429.79,CONCLUÍDA,2859.58,1985.7399999999998,40.98
V202000004,2022-01-07,2022,1,1,FRIDAY,ESPORTES,HALTERES,CENTRO-OESTE,GO,CIDADE DESCONHECIDA,PAULO RODRIGUES,JULIANA SILVA,2,1628.69,16.22,2729.07,BOLETO,928.32,CONCLUÍDA,1856.64,872.4300000000001,31.97
V202100005,2024-06-28,2024,6,2,FRIDAY,ELETRÔNICOS,TABLET,SUL,RS,PORTO ALEGRE,CARLOS ALMEIDA,CAMILA MARTINS,1,3459.01,0.0,3459.01,PIX,1627.51,CONCLUÍDA,1627.51,1831.5000000000002,52.95
V202200006,2022-01-10,2022,1,1,MONDAY,MODA,BOLSA,SUDESTE,MG,BELO HORIZONTE,AMANDA LIMA,PATRÍCIA RIBEIRO,4,168.9,5.76,636.69,BOLETO,99.69,CONCLUÍDA,398.76,237.93000000000006,37.37
V202300007,2022-07-29,2022,7,3,FRIDAY,BELEZA,PERFUME,SUDESTE,MG,CONTAGEM,LUCAS MARTINS,ROBERTO MARTINS,2,186.05,8.21,341.57,CARTAO DEBITO,82.37,CONCLUÍDA,164.74,176.82999999999998,51.77
V202000008,2023-01-12,2023,1,1,THURSDAY,ELETRÔNICOS,FONES DE OUVIDO,CENTRO-OESTE,MS,CIDADE DESCONHECIDA,RICARDO LIMA,PAULO ALVES,1,3142.0,13.86,2706.38,PIX,1809.8,CONCLUÍDA,1809.8,896.5800000000002,33.13
V202100009,2023-09-25,2023,9,3,MONDAY,CASA,CAMA,NORDESTE,BA,CIDADE DESCONHECIDA,PAULO GOMES,RICARDO MARTINS,5,2816.35,0.0,14081.75,DINHEIRO,1540.08,CONCLUÍDA,7700.4,6381.35,45.32
V202200010,2025-12-31,2025,12,4,WEDNESDAY,ELETRÔNICOS,SMART TV,CENTRO-OESTE,DF,CIDADE DESCONHECIDA,AMANDA OLIVEIRA,MARIA MARTINS,1,4377.25,23.37,3354.23,PIX,2402.88,CONCLUÍDA,2402.88,951.3499999999999,28.36
V202300011,2023-03-21,2023,3,1,TUESDAY,CASA,MESA,SUL,SC,FLORIANÓPOLIS,PATRÍCIA ALVES,JULIANA FERNANDES,3,1666.75,0.0,5000.25,CARTAO CREDITO,1059.29,CONCLUÍDA,3177.87,1822.38,36.45
V202000012,2021-03-20,2021,3,1,SATURDAY,ELETRÔNICOS,NOTEBOOK,SUDESTE,MG,BELO HORIZONTE,LUCAS RODRIGUES,GUSTAVO PEREIRA,4,3094.62,0.0,12378.48,CARTAO CREDITO,1833.97,CONCLUÍDA,7335.88,5042.599999999999,40.74
V202100013,2024-03-10,2024,3,1,SUNDAY,BELEZA,MAQUIAGEM,SUL,SC,FLORIANÓPOLIS,BEATRIZ RIBEIRO,AMANDA SANTOS,4,72.93,0.0,291.72,BOLETO,32.98,CONCLUÍDA,131.92,159.80000000000004,54.78
V202200014,2025-06-19,2025,6,2,THURSDAY,BELEZA,PERFUME,CENTRO-OESTE,GO,CIDADE DESCONHECIDA,LUCAS SILVA,AMANDA SOUZA,4,121.44,0.0,485.76,CARTAO CREDITO,75.77,CONCLUÍDA,303.08,182.68,37.61
V202300015,2025-03-04,2025,3,1,TUESDAY,MODA,BOLSA,SUL,PR,MARINGÁ,FERNANDO ALMEIDA,ROBERTO SILVA,1,91.4,0.0,91.4,DINHEIRO,46.04,CONCLUÍDA,46.04,45.36000000000001,49.63
V202000016,2023-09-12,2023,9,3,TUESDAY,MODA,VESTIDO,CENTRO-OESTE,MT,CIDADE DESCONHECIDA,ROBERTO ALMEIDA,JULIANA OLIVEIRA,4,121.84,0.0,487.36,CARTAO DEBITO,62.89,CONCLUÍDA,251.56,235.8,48.38
V202100017,2023-05-13,2023,5,2,SATURDAY,ELETRÔNICOS,FONES DE OUVIDO,SUL,SC,JOINVILLE,CARLOS PEREIRA,FERNANDO MARTINS,1,4088.49,0.0,4088.49,CARTAO DEBITO,2840.11,CONCLUÍDA,2840.11,1248.3799999999997,30.53
V202200018,2024-05-29,2024,5,2,WEDNESDAY,ESPORTES,HALTERES,SUDESTE,ES,CIDADE DESCONHECIDA,JULIANA ALMEIDA,LUCAS ALVES,4,1187.76,8.63,4341.12,CARTAO CREDITO,494.93,CONCLUÍDA,1979.72,2361.3999999999996,54.4
